patent_id,title,abstract,filing_date,year
US10000394,Semiconductor apparatus,A method and apparatus for improved performance.,2017-01-03,2017
US10000395,Battery system,A method and apparatus for improved performance.,2019-09-01,2019
US10000396,Semiconductor device,A method and apparatus for improved performance.,2022-07-20,2022
US10000397,Semiconductor method,A method and apparatus for improved performance.,2019-07-01,2019
US10000398,Semiconductor system,A method and apparatus for improved performance.,2020-02-14,2020
US10000399,Quantum method,A method and apparatus for improved performance.,2021-12-25,2021
US10000400,Battery apparatus,A method and apparatus for improved performance.,2017-03-11,2017
US10000401,Quantum apparatus,A method and apparatus for improved performance.,2015-04-08,2015
US10000402,Semiconductor network,A method and apparatus for improved performance.,2018-10-04,2018
US10000403,Quantum method,A method and apparatus for improved performance.,2020-12-10,2020
US10000404,Quantum apparatus,A method and apparatus for improved performance.,2015-06-29,2015
US10000405,Semiconductor apparatus,A method and apparatus for improved performance.,2021-07-06,2021
US10000406,Wireless apparatus,A method and apparatus for improved performance.,2015-11-03,2015
US10000407,Neural system,A method and apparatus for improved performance.,2017-08-27,2017
US10000408,Neural method,A method and apparatus for improved performance.,2018-08-29,2018
US10000409,Wireless circuit,A method and apparatus for improved performance.,2016-07-11,2016
US10000410,Optical circuit,A method and apparatus for improved performance.,2018-07-10,2018
US10000411,Semiconductor circuit,A method and apparatus for improved performance.,2017-12-21,2017
US10000412,Quantum system,A method and apparatus for improved performance.,2015-06-15,2015
US10000413,Wireless circuit,A method and apparatus for improved performance.,2019-06-12,2019
US10000414,Wireless network,A method and apparatus for improved performance.,2020-01-27,2020
US10000415,Semiconductor circuit,A method and apparatus for improved performance.,2016-05-12,2016
US10000416,Battery network,A method and apparatus for improved performance.,2019-03-05,2019
US10000417,Semiconductor device,A method and apparatus for improved performance.,2015-03-31,2015
US10000418,Semiconductor circuit,A method and apparatus for improved performance.,2018-09-20,2018
US10000419,Battery method,A method and apparatus for improved performance.,2019-11-10,2019
US10000420,Quantum device,A method and apparatus for improved performance.,2018-12-20,2018
US10000421,Wireless apparatus,A method and apparatus for improved performance.,2015-05-22,2015
US10000422,Semiconductor circuit,A method and apparatus for improved performance.,2020-05-16,2020
US10000423,Battery apparatus,A method and apparatus for improved performance.,2017-10-17,2017
US10000424,Wireless method,A method and apparatus for improved performance.,2020-05-18,2020
US10000425,Semiconductor system,A method and apparatus for improved performance.,2017-01-06,2017
US10000426,Neural apparatus,A method and apparatus for improved performance.,2020-12-08,2020
US10000427,Wireless network,A method and apparatus for improved performance.,2017-12-27,2017
US10000428,Wireless method,A method and apparatus for improved performance.,2017-06-17,2017
US10000429,Neural apparatus,A method and apparatus for improved performance.,2022-10-28,2022
US10000430,Quantum apparatus,A method and apparatus for improved performance.,2021-04-27,2021
US10000431,Semiconductor circuit,A method and apparatus for improved performance.,2020-07-01,2020
US10000432,Optical circuit,A method and apparatus for improved performance.,2020-11-26,2020
US10000433,Battery device,A method and apparatus for improved performance.,2018-10-27,2018
US10000434,Wireless system,A method and apparatus for improved performance.,2016-03-30,2016
US10000435,Semiconductor system,A method and apparatus for improved performance.,2021-07-28,2021
US10000436,Battery method,A method and apparatus for improved performance.,2019-11-25,2019
US10000437,Wireless system,A method and apparatus for improved performance.,2022-10-11,2022
US10000438,Neural network,A method and apparatus for improved performance.,2019-03-30,2019
US10000439,Wireless circuit,A method and apparatus for improved performance.,2019-05-23,2019
US10000440,Battery apparatus,A method and apparatus for improved performance.,2017-06-23,2017
US10000441,Neural system,A method and apparatus for improved performance.,2017-09-01,2017
US10000442,Battery network,A method and apparatus for improved performance.,2015-12-30,2015
US10000443,Battery circuit,A method and apparatus for improved performance.,2017-10-19,2017
US10000444,Optical network,A method and apparatus for improved performance.,2019-04-30,2019
US10000445,Wireless method,A method and apparatus for improved performance.,2018-12-09,2018
US10000446,Battery device,A method and apparatus for improved performance.,2022-04-20,2022
US10000447,Semiconductor system,A method and apparatus for improved performance.,2018-04-22,2018
US10000448,Battery circuit,A method and apparatus for improved performance.,2016-10-21,2016
US10000449,Battery circuit,A method and apparatus for improved performance.,2020-05-31,2020
US10000450,Semiconductor circuit,A method and apparatus for improved performance.,2016-10-05,2016
US10000451,Neural network,A method and apparatus for improved performance.,2021-01-21,2021
US10000452,Wireless method,A method and apparatus for improved performance.,2021-05-30,2021
US10000453,Neural network,A method and apparatus for improved performance.,2015-12-25,2015
US10000454,Battery system,A method and apparatus for improved performance.,2016-11-30,2016
US10000455,Optical method,A method and apparatus for improved performance.,2018-06-17,2018
US10000456,Quantum system,A method and apparatus for improved performance.,2019-05-07,2019
US10000457,Optical system,A method and apparatus for improved performance.,2019-12-07,2019
US10000458,Battery circuit,A method and apparatus for improved performance.,2022-10-23,2022
US10000459,Wireless device,A method and apparatus for improved performance.,2019-08-23,2019
US10000460,Optical apparatus,A method and apparatus for improved performance.,2022-09-15,2022
US10000461,Wireless apparatus,A method and apparatus for improved performance.,2015-05-23,2015
US10000462,Quantum device,A method and apparatus for improved performance.,2016-12-09,2016
US10000463,Optical device,A method and apparatus for improved performance.,2022-08-30,2022
US10000464,Optical apparatus,A method and apparatus for improved performance.,2015-12-23,2015
US10000465,Optical circuit,A method and apparatus for improved performance.,2020-10-29,2020
US10000466,Quantum device,A method and apparatus for improved performance.,2019-08-25,2019
US10000467,Semiconductor apparatus,A method and apparatus for improved performance.,2016-02-15,2016
US10000468,Optical system,A method and apparatus for improved performance.,2018-11-09,2018
US10000469,Quantum system,A method and apparatus for improved performance.,2015-06-03,2015
US10000470,Optical system,A method and apparatus for improved performance.,2015-06-08,2015
US10000471,Semiconductor system,A method and apparatus for improved performance.,2019-03-06,2019
US10000472,Battery circuit,A method and apparatus for improved performance.,2022-10-22,2022
US10000473,Neural network,A method and apparatus for improved performance.,2018-08-07,2018
US10000474,Optical network,A method and apparatus for improved performance.,2017-05-15,2017
US10000475,Wireless device,A method and apparatus for improved performance.,2015-08-19,2015
US10000476,Wireless apparatus,A method and apparatus for improved performance.,2016-07-09,2016
US10000477,Quantum circuit,A method and apparatus for improved performance.,2015-08-25,2015
US10000478,Optical apparatus,A method and apparatus for improved performance.,2019-02-17,2019
US10000479,Optical apparatus,A method and apparatus for improved performance.,2019-03-06,2019
US10000480,Quantum system,A method and apparatus for improved performance.,2018-11-11,2018
US10000481,Wireless device,A method and apparatus for improved performance.,2016-10-29,2016
US10000482,Battery method,A method and apparatus for improved performance.,2018-01-07,2018
US10000483,Battery device,A method and apparatus for improved performance.,2016-06-25,2016
US10000484,Battery network,A method and apparatus for improved performance.,2022-12-29,2022
US10000485,Neural device,A method and apparatus for improved performance.,2020-02-24,2020
US10000486,Wireless circuit,A method and apparatus for improved performance.,2019-06-15,2019
US10000487,Wireless network,A method and apparatus for improved performance.,2019-03-13,2019
US10000488,Neural system,A method and apparatus for improved performance.,2015-09-19,2015
US10000489,Quantum apparatus,A method and apparatus for improved performance.,2017-02-10,2017
US10000490,Optical network,A method and apparatus for improved performance.,2021-09-23,2021
US10000491,Neural method,A method and apparatus for improved performance.,2018-04-25,2018
US10000492,Neural network,A method and apparatus for improved performance.,2017-02-16,2017
US10000493,Neural apparatus,A method and apparatus for improved performance.,2022-07-14,2022
US10000494,Neural circuit,A method and apparatus for improved performance.,2017-01-11,2017
US10000495,Battery system,A method and apparatus for improved performance.,2017-01-19,2017
US10000496,Neural system,A method and apparatus for improved performance.,2019-09-19,2019
US10000497,Semiconductor network,A method and apparatus for improved performance.,2020-04-11,2020
US10000498,Semiconductor network,A method and apparatus for improved performance.,2020-08-11,2020
US10000499,Quantum system,A method and apparatus for improved performance.,2016-07-16,2016
US10000500,Optical system,A method and apparatus for improved performance.,2015-11-28,2015
