patent_id	date	title	abstract
US10000430	2021-04-27	Quantum apparatus	A method and apparatus for improved performance.
US10000431	2020-07-01	Semiconductor circuit	A method and apparatus for improved performance.
US10000432	2020-11-26	Optical circuit	A method and apparatus for improved performance.
US10000433	2018-10-27	Battery device	A method and apparatus for improved performance.
US10000434	2016-03-30	Wireless system	A method and apparatus for improved performance.
US10000435	2021-07-28	Semiconductor system	A method and apparatus for improved performance.
US10000436	2019-11-25	Battery method	A method and apparatus for improved performance.
US10000437	2022-10-11	Wireless system	A method and apparatus for improved performance.
US10000438	2019-03-30	Neural network	A method and apparatus for improved performance.
US10000439	2019-05-23	Wireless circuit	A method and apparatus for improved performance.
US10000440	2017-06-23	Battery apparatus	A method and apparatus for improved performance.
US10000441	2017-09-01	Neural system	A method and apparatus for improved performance.
US10000442	2015-12-30	Battery network	A method and apparatus for improved performance.
US10000443	2017-10-19	Battery circuit	A method and apparatus for improved performance.
US10000444	2019-04-30	Optical network	A method and apparatus for improved performance.
US10000445	2018-12-09	Wireless method	A method and apparatus for improved performance.
US10000446	2022-04-20	Battery device	A method and apparatus for improved performance.
US10000447	2018-04-22	Semiconductor system	A method and apparatus for improved performance.
US10000448	2016-10-21	Battery circuit	A method and apparatus for improved performance.
US10000449	2020-05-31	Battery circuit	A method and apparatus for improved performance.
US10000450	2016-10-05	Semiconductor circuit	A method and apparatus for improved performance.
US10000451	2021-01-21	Neural network	A method and apparatus for improved performance.
US10000452	2021-05-30	Wireless method	A method and apparatus for improved performance.
US10000453	2015-12-25	Neural network	A method and apparatus for improved performance.
US10000454	2016-11-30	Battery system	A method and apparatus for improved performance.
US10000455	2018-06-17	Optical method	A method and apparatus for improved performance.
US10000456	2019-05-07	Quantum system	A method and apparatus for improved performance.
US10000457	2019-12-07	Optical system	A method and apparatus for improved performance.
US10000458	2022-10-23	Battery circuit	A method and apparatus for improved performance.
US10000459	2019-08-23	Wireless device	A method and apparatus for improved performance.
US10000460	2022-09-15	Optical apparatus	A method and apparatus for improved performance.
US10000461	2015-05-23	Wireless apparatus	A method and apparatus for improved performance.
US10000462	2016-12-09	Quantum device	A method and apparatus for improved performance.
US10000463	2022-08-30	Optical device	A method and apparatus for improved performance.
US10000464	2015-12-23	Optical apparatus	A method and apparatus for improved performance.
US10000465	2020-10-29	Optical circuit	A method and apparatus for improved performance.
US10000466	2019-08-25	Quantum device	A method and apparatus for improved performance.
US10000467	2016-02-15	Semiconductor apparatus	A method and apparatus for improved performance.
US10000468	2018-11-09	Optical system	A method and apparatus for improved performance.
US10000469	2015-06-03	Quantum system	A method and apparatus for improved performance.
US10000470	2015-06-08	Optical system	A method and apparatus for improved performance.
US10000471	2019-03-06	Semiconductor system	A method and apparatus for improved performance.
US10000472	2022-10-22	Battery circuit	A method and apparatus for improved performance.
US10000473	2018-08-07	Neural network	A method and apparatus for improved performance.
US10000474	2017-05-15	Optical network	A method and apparatus for improved performance.
US10000475	2015-08-19	Wireless device	A method and apparatus for improved performance.
US10000476	2016-07-09	Wireless apparatus	A method and apparatus for improved performance.
US10000477	2015-08-25	Quantum circuit	A method and apparatus for improved performance.
US10000478	2019-02-17	Optical apparatus	A method and apparatus for improved performance.
US10000479	2019-03-06	Optical apparatus	A method and apparatus for improved performance.
US10000480	2018-11-11	Quantum system	A method and apparatus for improved performance.
US10000481	2016-10-29	Wireless device	A method and apparatus for improved performance.
US10000482	2018-01-07	Battery method	A method and apparatus for improved performance.
US10000483	2016-06-25	Battery device	A method and apparatus for improved performance.
US10000484	2022-12-29	Battery network	A method and apparatus for improved performance.
US10000485	2020-02-24	Neural device	A method and apparatus for improved performance.
US10000486	2019-06-15	Wireless circuit	A method and apparatus for improved performance.
US10000487	2019-03-13	Wireless network	A method and apparatus for improved performance.
US10000488	2015-09-19	Neural system	A method and apparatus for improved performance.
US10000489	2017-02-10	Quantum apparatus	A method and apparatus for improved performance.
US10000490	2021-09-23	Optical network	A method and apparatus for improved performance.
US10000491	2018-04-25	Neural method	A method and apparatus for improved performance.
US10000492	2017-02-16	Neural network	A method and apparatus for improved performance.
US10000493	2022-07-14	Neural apparatus	A method and apparatus for improved performance.
US10000494	2017-01-11	Neural circuit	A method and apparatus for improved performance.
US10000495	2017-01-19	Battery system	A method and apparatus for improved performance.
US10000496	2019-09-19	Neural system	A method and apparatus for improved performance.
US10000497	2020-04-11	Semiconductor network	A method and apparatus for improved performance.
US10000498	2020-08-11	Semiconductor network	A method and apparatus for improved performance.
US10000499	2016-07-16	Quantum system	A method and apparatus for improved performance.
US10000500	2015-11-28	Optical system	A method and apparatus for improved performance.
